rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
0.507031,0.10455,0.093717,0.0585114,-0.172085,0.0353045
0.344973,0.0740412,0.130982,0.056638,-0.175411,0.0133918
0.246476,0.0831462,0.155312,0.0248822,-0.175325,-0.0163637
0.270011,0.098571,0.183517,-0.0321744,-0.175562,-0.0494165
0.301056,0.0313489,0.145706,-0.0787618,-0.130446,-0.048344
0.309036,-0.0715833,0.136341,-0.0598959,-0.0559082,-0.0773501
0.263993,-0.132301,0.204753,0.014859,-0.0216335,-0.0815874
0.0946585,-0.162375,0.253241,0.0546824,-0.063637,-0.0174346
-0.0328874,-0.140767,0.251096,0.0341046,-0.11255,0.0397383
-0.024809,-0.0767694,0.230381,-0.0219275,-0.106006,0.046842
0.0817283,-0.0174687,0.194454,-0.0627794,-0.0563506,0.00465351
0.275976,0.041242,0.18428,-0.0593247,0.00481731,-0.0179412
0.451592,0.0737072,0.209574,-0.0305303,0.0354102,0.00488034
0.555511,0.0606206,0.21473,-0.0132025,0.0501987,0.00856286
0.5547,0.0268131,0.187328,-0.00589061,0.034869,0.0246038
0.389355,0.00200341,0.159026,-0.0102558,0.000564873,0.0393329
0.170262,-0.00115164,0.146131,-0.00426438,-0.0439614,0.0578552
-0.0430082,0.0121674,0.130615,0.00419763,-0.0889914,0.0710502
-0.104785,0.0431809,0.118649,-0.00193107,-0.0802253,0.0797428
-0.0335414,0.0803538,0.100096,-0.0169655,-0.0345386,0.0527202
0.133353,0.135118,0.0993277,-0.0253211,-0.00189209,0.0360662
0.272136,0.161036,0.112111,-0.0201922,0.0091905,0.032614
0.36539,0.130974,0.103759,-0.0175199,0.0179283,0.0109741
0.341496,0.0796193,0.0899102,-0.0125263,0.015627,-0.00492623
0.223285,0.0429367,0.108432,-0.0046767,-0.025745,0.0134115
0.0126982,0.0104989,0.142976,-0.00284991,-0.0868191,0.020229
-0.146569,-0.00108346,0.181204,-0.0094263,-0.108714,0.0287921
-0.151633,-0.0148632,0.17538,-0.0245152,-0.090205,0.0173878
-0.0216775,-0.000419871,0.17072,-0.0279185,-0.0660371,-0.00112939
0.140979,0.0244205,0.17901,-0.0241263,-0.0456956,-0.00992838
0.249765,0.0439821,0.184375,-0.0191905,-0.0286216,-0.00459969
0.287618,0.0566247,0.183246,-0.00975025,-0.0286555,0.0178107
0.25809,0.0610194,0.194694,0.015228,-0.0497165,0.033201
0.193838,0.064807,0.208629,0.0403908,-0.0724313,0.0256499
0.104457,0.0843733,0.231718,0.0428322,-0.0891527,0.035553
0.0398503,0.0966745,0.246439,0.0303606,-0.10872,0.0490317
-0.0125587,0.0885551,0.238041,0.0153456,-0.130253,0.0383443
-0.000585387,0.0909203,0.253922,0.0152686,-0.122003,0.0186448
-0.00187859,0.0784345,0.289812,0.0278103,-0.130957,0.0262288
-0.0490304,0.0568443,0.317512,0.0440103,-0.158719,0.0481924
-0.104542,0.0632764,0.350713,0.0526399,-0.187105,0.0587736
-0.102443,0.0988038,0.375051,0.0516644,-0.208611,0.0597752
-0.0706009,0.127772,0.383141,0.0517457,-0.226438,0.0614578
-0.035139,0.15787,0.408569,0.0584657,-0.235317,0.0637294
-0.0251141,0.196528,0.472644,0.0749406,-0.251695,0.0605179
-0.0960165,0.212844,0.541631,0.100025,-0.29063,0.0604616
-0.18866,0.210867,0.619705,0.124974,-0.34157,0.0875848
-0.262966,0.210565,0.713958,0.143438,-0.384448,0.104507
-0.30755,0.219014,0.805219,0.147993,-0.416125,0.116309
-0.349628,0.236195,0.864109,0.142588,-0.431787,0.110644
-0.42334,0.260135,0.902839,0.143546,-0.443989,0.121516
-0.562551,0.292117,0.91596,0.159818,-0.469643,0.154531
-0.744199,0.323954,0.905473,0.192747,-0.49926,0.176345
-0.931024,0.363126,0.915341,0.241361,-0.530408,0.191563
-1.13784,0.412651,0.947013,0.297574,-0.562358,0.208727
-1.33144,0.463612,1.00827,0.351221,-0.607979,0.256654
-1.50436,0.527318,1.08793,0.379896,-0.652376,0.298516
-1.52955,0.601169,1.2181,0.376403,-0.649514,0.281936
-1.28304,0.668896,1.43727,0.354878,-0.605463,0.227924
-0.879568,0.666107,1.65843,0.332982,-0.541514,0.151769
-0.528176,0.588963,1.83939,0.324557,-0.481148,0.087671
-0.351221,0.499865,1.97565,0.32591,-0.459728,0.100586
-0.49059,0.384737,2.04529,0.344785,-0.496644,0.141183
-0.909304,0.217798,2.06447,0.378296,-0.575089,0.208233
-1.59615,0.101262,2.11931,0.424081,-0.672445,0.283274
-2.3825,0.0700417,2.21581,0.448453,-0.742152,0.377248
-3.05463,0.069066,2.36284,0.4429,-0.742746,0.391133
-3.191,0.112855,2.5527,0.410272,-0.614491,0.357847
-2.62176,0.212637,2.71251,0.377287,-0.392911,0.25381
-1.67255,0.29981,2.88156,0.372746,-0.133003,0.113111
-0.657251,0.279865,3.11271,0.410285,0.0975897,0.0334486
0.0101769,0.209596,3.28279,0.462937,0.203835,0.107081
0.213668,0.229956,3.21563,0.497596,0.133632,0.256462
