rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.0667579,0.0858373,-0.116522,-0.0245933,-0.0846492,0.0672908
0.408675,0.681817,1.29468,-0.0607381,0.707383,-0.115138
-0.0869046,0.831783,1.76738,-0.0610362,0.721755,-0.102629
-0.6397,0.848591,2.26057,-0.0313113,0.793739,-0.117547
-0.994788,0.802022,2.82521,0.00844175,1.05015,-0.165018
-1.17008,0.771658,3.46028,0.0123819,1.43761,-0.18694
-1.02637,0.731747,4.10413,-0.0498343,1.78693,-0.140658
-0.531988,0.713948,4.77818,-0.160758,1.97863,-0.0674509
0.0195314,0.781981,5.59515,-0.284891,2.13465,-0.0427868
0.420314,0.905504,6.2952,-0.441222,2.21208,-0.117177
0.514392,1.00273,7.02128,-0.629677,2.11224,-0.161255
0.348815,0.875218,7.61078,-0.790614,1.9265,-0.133627
0.252931,0.639626,7.98826,-0.898064,1.73048,-0.0624821
0.268939,0.416342,8.25086,-0.993744,1.50588,-0.0063875
0.402724,0.184363,8.34188,-1.08331,1.19009,0.0522118
0.573505,-0.0153247,8.31794,-1.14704,0.812835,0.139538
0.665489,-0.175585,8.1195,-1.19702,0.433354,0.248526
0.740513,-0.274034,7.81872,-1.26006,0.0807155,0.340064
0.811592,-0.332856,7.46202,-1.3176,-0.216772,0.394726
0.825041,-0.414255,7.13859,-1.34771,-0.396353,0.441389
0.610261,-0.496221,6.76476,-1.38358,-0.468494,0.431307
0.316456,-0.517029,6.33088,-1.47143,-0.641342,0.396317
-0.0112465,-0.521905,5.96042,-1.51963,-0.833933,0.393237
-0.346443,-0.525684,5.61016,-1.46956,-0.907372,0.368042
-0.541196,-0.63023,5.23482,-1.34348,-0.896992,0.323919
-0.664351,-0.779919,4.82135,-1.21928,-0.84404,0.274956
-0.689936,-0.828242,4.41151,-1.15807,-0.820101,0.210764
-0.674854,-0.791125,4.00763,-1.11337,-0.870625,0.159268
-0.490449,-0.730879,3.5628,-1.02027,-0.953485,0.107986
-0.3247,-0.677239,3.22787,-0.887467,-1.00208,0.0634015
-0.182015,-0.65751,2.96482,-0.763113,-0.967744,0.0611062
-0.0374597,-0.666083,2.60845,-0.672239,-0.903797,0.0646048
0.164316,-0.624779,2.19384,-0.62614,-0.854706,0.0702728
0.330391,-0.545471,1.84806,-0.585777,-0.802282,0.0734127
0.44648,-0.483493,1.51479,-0.532109,-0.723474,0.072406
0.520254,-0.436853,1.18945,-0.473152,-0.687627,0.0445629
0.524008,-0.398299,0.935608,-0.406661,-0.663686,-0.00546625
0.471214,-0.392416,0.713778,-0.337775,-0.62156,-0.0461131
0.403037,-0.426353,0.512899,-0.276597,-0.591351,-0.068807
0.303012,-0.49266,0.358793,-0.229002,-0.533567,-0.0970999
0.185344,-0.545904,0.221065,-0.203542,-0.4576,-0.114641
0.0167062,-0.552522,0.145657,-0.196048,-0.412587,-0.112829
-0.162618,-0.524134,0.0717219,-0.187384,-0.360615,-0.0946367
-0.270973,-0.472404,-0.0164694,-0.155056,-0.319445,-0.0770545
-0.315847,-0.414674,-0.0754318,-0.100265,-0.246312,-0.0632497
-0.260458,-0.369398,-0.183312,-0.0449093,-0.147049,-0.0526683
-0.0544089,-0.320022,-0.285644,-0.00748682,-0.0991505,-0.0532974
0.224259,-0.291552,-0.329662,0.00449798,-0.0620717,-0.062552
0.498799,-0.262114,-0.405468,0.000432074,-0.0189734,-0.0730033
0.7024,-0.200412,-0.489691,-0.0191398,-0.0115172,-0.0799448
0.77927,-0.145523,-0.505286,-0.022408,-0.0287173,-0.0754753
0.695344,-0.141821,-0.477964,-0.00368538,-0.0396085,-0.065679
0.497999,-0.178888,-0.45742,0.00969011,-0.0267138,-0.0705222
0.26327,-0.214408,-0.450959,0.00175661,-0.0271114,-0.0696318
0.0209779,-0.232346,-0.435822,-0.0165683,-0.0287231,-0.061115
-0.197794,-0.249805,-0.433285,-0.036888,-0.0244843,-0.0526295
-0.301923,-0.253421,-0.435402,-0.0446083,-0.0255082,-0.0402694
-0.304539,-0.247877,-0.408859,-0.0365499,0.0102715,-0.0317396
-0.205237,-0.230813,-0.386508,-0.0252752,0.0653156,-0.0238273
-0.0798355,-0.189963,-0.355998,-0.0195575,0.105486,-0.0117682
0.0040139,-0.128648,-0.320908,-0.0180297,0.137586,-0.0130235
0.0273131,-0.0780699,-0.294759,-0.0151487,0.133541,-0.0193256
0.00639314,-0.0303924,-0.256772,-0.000726998,0.114835,-0.0333688
-0.0787262,0.00726136,-0.200895,0.0159879,0.0927038,-0.0493189
-0.23341,0.04021,-0.151418,0.0373805,0.0642172,-0.0436803
-0.393543,0.0791031,-0.0995473,0.0390784,0.0254111,-0.0418746
-0.513808,0.101898,-0.0511877,0.0415995,0.00934285,-0.0375273
-0.543391,0.112775,-0.0339808,0.0437467,0.0225948,-0.036679
-0.451347,0.11831,-0.0376682,0.0375826,0.0329577,-0.0431773
-0.268011,0.119506,-0.0457078,0.030234,0.0488167,-0.0436094
-0.043465,0.123427,-0.0497345,0.0208319,0.0690184,-0.0412119
0.158226,0.112496,-0.0593567,0.0109844,0.0827092,-0.0472923
0.299081,0.0948776,-0.0740047,-0.00421005,0.0735619,-0.049078
0.377383,0.0793855,-0.087207,-0.0121959,0.0439256,-0.0396234
0.311355,0.0667147,-0.0802934,-0.00683206,0.0200925,-0.0283529
0.183716,0.0416951,-0.0680261,0.00411439,-0.0152373,-0.0188343
0.0569298,0.00451574,-0.0584459,0.018827,-0.0549285,-0.0129932
0.994008,1.13381,3.31662,-0.0317987,1.64176,-0.357995
0.623894,1.34232,4.22574,-0.186763,1.84772,-0.365606
0.0462968,1.64327,5.27428,-0.426162,1.9666,-0.335338
-0.548069,1.91037,6.44597,-0.655563,1.9824,-0.200699
-0.955455,2.09427,7.38664,-0.794636,2.12078,-0.185496
-0.970981,2.08727,8.1169,-0.916981,2.25028,-0.27773
-0.450453,1.88963,8.56649,-1.06951,2.25106,-0.310015
0.381263,1.70056,8.82428,-1.27309,2.0996,-0.302533
1.07345,1.63172,8.91434,-1.54714,1.76247,-0.233511
1.28951,1.57825,8.91221,-1.77029,1.20767,-0.079823
1.23677,1.4432,8.90765,-1.79629,0.572364,0.168559
0.988589,1.24889,8.81111,-1.67127,0.0428128,0.407977
