rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
0.0492652,0.0116181,-0.0418486,0.00791412,0.0438881,0.0460572
-1.57247,-0.259412,-0.737203,-0.0258205,0.179984,-0.0965478
-1.50098,-0.333927,-0.841373,-0.0267071,0.274294,-0.0833538
-1.42406,-0.496703,-1.11432,-0.0191839,0.320228,0.0120656
-1.43366,-0.678842,-1.56195,-0.0264295,0.349196,0.0864705
-1.15431,-0.822131,-2.0667,-0.032988,0.385121,0.121074
-0.653643,-0.939985,-2.63556,-0.0363799,0.543314,0.131938
-0.46041,-1.05435,-3.06306,-0.0152143,0.886724,0.0895168
-0.285701,-0.935578,-3.27221,0.04617,1.11719,0.0347001
-0.0924627,-0.61819,-3.7495,0.0945854,1.10804,0.0161798
-0.0383186,-0.180636,-4.34194,0.154778,1.1058,-0.0256528
0.11179,0.390776,-4.85058,0.265013,1.19472,-0.0671381
0.565585,0.9355,-5.28208,0.373715,1.28624,0.0221976
1.1032,1.21285,-5.654,0.476397,1.38465,0.209676
1.65443,1.32578,-6.08366,0.618702,1.36356,0.365027
1.98299,1.23564,-6.56615,0.764203,1.25922,0.479432
2.08831,1.04706,-6.89939,0.892083,1.19538,0.529334
1.91572,0.948914,-7.21619,0.971767,1.12847,0.525014
1.46138,0.860911,-7.40836,1.01286,1.07613,0.51623
0.883122,0.796356,-7.61158,1.06366,0.956814,0.476711
0.323756,0.902724,-7.88019,1.06069,0.698619,0.482415
-0.0340034,0.999976,-8.00013,0.958466,0.489776,0.519627
-0.215261,1.2067,-7.93674,0.823328,0.257566,0.535925
0.103432,1.42944,-7.56082,0.703489,0.0257137,0.3739
0.715998,1.44135,-7.17827,0.660951,-0.226765,0.18097
1.24146,1.37034,-6.78064,0.682003,-0.5281,0.0637268
1.64072,1.29048,-6.27582,0.716808,-0.813284,0.00952685
1.54438,1.14655,-5.75955,0.766969,-1.06734,0.0248504
1.07401,0.959711,-5.14777,0.853669,-1.24897,0.0163159
0.419131,0.735871,-4.47609,0.939448,-1.46073,-0.0641871
-0.292885,0.622556,-3.90317,0.94061,-1.64739,-0.125432
-0.729159,0.586555,-3.24917,0.838577,-1.5841,-0.189725
-0.834324,0.529338,-2.55595,0.763361,-1.31836,-0.25061
-0.704987,0.472978,-2.02039,0.758581,-1.05898,-0.278021
-0.406221,0.429563,-1.59346,0.765547,-0.853093,-0.269028
-0.146594,0.405229,-1.25369,0.734195,-0.658905,-0.207828
0.0197919,0.41359,-0.911248,0.663161,-0.504666,-0.157679
0.0474196,0.402487,-0.662022,0.573299,-0.40413,-0.129063
0.0100345,0.378676,-0.498225,0.477817,-0.34795,-0.108624
-0.130924,0.3444,-0.360078,0.373983,-0.28021,-0.0913405
-0.151197,0.321816,-0.179259,0.26441,-0.229884,-0.12006
-0.0840561,0.306698,-0.0613557,0.150175,-0.201496,-0.152624
-0.00495684,0.323523,0.0143992,0.053348,-0.151022,-0.184322
0.0477016,0.342428,0.0876724,0.000898421,-0.0979285,-0.184132
0.0878303,0.315985,0.107,-0.0159637,-0.0861417,-0.145262
0.0594637,0.286516,0.0733725,-0.0281954,-0.0911691,-0.0970569
0.0582059,0.251518,0.0835072,-0.0382325,-0.0490307,-0.0657124
0.118758,0.19322,0.108479,-0.0205683,-0.00344419,-0.0437717
0.0837578,0.106072,0.0883744,0.00450248,0.0116702,-0.00897682
-0.0030383,0.047569,0.0633119,0.0289182,-0.0090332,0.00741059
-0.104923,0.0214548,0.0146176,0.0266122,-0.0347217,-0.000119209
-0.144262,0.00941945,-0.00587621,0.00774986,-0.00903499,-0.000926137
-0.085283,0.0303259,-0.00851567,-0.0062933,0.0202987,-0.0112192
0.0210174,0.0698065,-0.0165968,-0.0178653,0.00630736,-0.0128571
0.136197,0.095952,0.006479,-0.0227293,-0.00553232,0.0106824
0.20576,0.125055,0.0182326,-0.0229532,0.00268453,0.0294219
0.210359,0.155754,0.0100207,-0.0241438,-0.0288512,0.0377563
0.207309,0.159082,0.0259033,-0.0259156,-0.0522686,0.0312268
0.136666,0.14675,0.0296525,-0.0197288,-0.0848839,0.0149746
-0.0132653,0.133101,0.0388585,-0.00923979,-0.101897,0.00775671
-0.160045,0.107471,0.0540854,0.00179505,-0.0992221,-0.00599373
-0.248055,0.0785409,0.0162824,0.0119627,-0.0985979,-0.0128739
-0.274546,0.0558336,-0.0019776,0.00714189,-0.0786434,-0.0159407
-0.195512,0.039155,0.0231309,0.00638115,-0.0225435,-0.0271816
-0.0499086,0.012033,0.0280746,0.0130376,0.0214388,-0.0365601
0.090068,-0.0159874,0.0303891,0.0210387,0.0265363,-0.032725
0.163646,-0.0363094,0.0348499,0.027977,0.0223197,-0.0192437
