rotation_x,rotation_y,rotation_z,acceleration_x,acceleration_y,acceleration_z
-0.0312381,0.00408376,-0.00258777,0.00257225,-0.00822486,0.00914687
-0.225823,0.00379953,0.261681,-0.0212612,-0.0274562,-0.022784
-0.243324,-0.0443967,0.372318,-0.0185038,-0.0125998,-0.0261975
-0.262784,-0.0323637,0.460485,-0.0235141,0.0381261,-0.00934779
-0.404023,0.0207456,0.581199,-0.0411897,0.09727,-0.00966394
-0.573799,0.162326,0.723584,-0.0711216,0.15536,0.000468016
-0.792305,0.343104,0.870906,-0.099474,0.162699,0.00984937
-1.18604,0.499474,1.02079,-0.106462,0.133931,0.0279207
-1.64988,0.672763,1.18522,-0.121377,0.180224,0.0300572
-1.93571,0.760688,1.4451,-0.158344,0.271002,0.0597069
-2.01267,0.83739,1.83212,-0.172857,0.444122,0.0523763
-1.93729,0.927973,2.31838,-0.137149,0.709923,0.0506926
-2.07062,1.04471,2.99062,-0.110047,0.992833,0.0731438
-2.45823,1.22174,3.84622,-0.140176,1.35926,0.016292
-2.93605,1.39655,4.70421,-0.215009,1.83306,-0.0127077
-3.12008,1.55389,5.50514,-0.248855,2.28846,0.0763301
-2.93704,1.46094,6.41362,-0.179901,2.59878,0.07563
-2.95187,0.96662,7.3324,0.0286174,2.91823,0.152207
-2.46466,0.180902,8.44653,0.308107,3.31067,0.249363
-1.47586,-0.694709,9.88438,0.472798,3.66087,0.153674
-0.552515,-1.71722,10.9977,0.265105,4.06178,0.117558
0.486943,-2.38486,11.607,-0.330525,4.37689,0.186487
1.33228,-2.81029,11.944,-1.14879,4.11781,0.187441
2.01676,-3.14173,12.2269,-1.81869,3.51116,0.288043
2.86844,-3.54408,12.1228,-2.19783,2.93007,0.370866
4.07348,-3.78427,11.6163,-2.5782,2.31374,0.405255
5.02363,-3.67842,10.7401,-3.01953,1.54784,0.586017
5.2592,-3.32151,9.75697,-3.43055,0.699866,0.768241
4.93355,-2.78758,8.33117,-3.78926,-0.0865135,0.851628
4.19849,-1.49662,7.80541,-4.042,-1.0447,0.899384
2.67219,-0.498067,6.90463,-3.94561,-1.84181,0.947356
1.41647,0.142488,5.56527,-3.54496,-2.29164,1.00447
0.483026,0.267116,4.50852,-3.07081,-2.64938,0.902217
-0.151932,0.228939,3.45175,-2.65339,-2.8724,0.813099
-0.480788,0.212633,2.28895,-2.34401,-2.9713,0.780872
-0.29045,0.187333,1.21864,-2.1132,-2.65721,0.669202
0.249469,0.144998,0.460374,-1.90093,-2.12321,0.508389
0.598235,0.0983547,-0.00640515,-1.63499,-1.70284,0.400171
0.52242,0.0915641,-0.256269,-1.33082,-1.42058,0.442878
0.0847663,0.0932174,-0.39375,-1.0512,-1.19685,0.568339
-0.315298,0.0488799,-0.435482,-0.843441,-0.914146,0.630203
-0.451444,0.00449055,-0.366326,-0.712743,-0.635239,0.537192
-0.419363,0.00945296,-0.536401,-0.630871,-0.373575,0.366981
-0.171904,0.0149942,-0.549548,-0.55827,-0.173682,0.19782
0.20736,-0.0516331,-0.514943,-0.37944,-0.016764,0.043088
0.509521,-0.173957,-0.420619,-0.170669,0.0899324,-0.0728211
0.644818,-0.279847,-0.23484,0.00410551,0.149654,-0.136612
0.662941,-0.322495,-0.130173,0.108377,0.157304,-0.171826
0.532702,-0.324076,-0.144577,0.151349,0.100647,-0.163697
0.257301,-0.300301,-0.155652,0.158242,0.0544354,-0.164159
-0.0169282,-0.216189,-0.173037,0.140146,0.046491,-0.179529
-0.122437,-0.180533,-0.375773,0.0964947,0.0335496,-0.22169
-0.236611,-0.143358,-0.39283,0.0930086,-0.0293519,-0.237981
-0.245323,-0.0832787,-0.319169,0.104675,-0.000213027,-0.2347
-0.154948,0.0267364,-0.254764,0.0981065,0.0647373,-0.209594
-0.0938707,0.121273,-0.216323,0.0664327,0.124086,-0.191643
-0.0660399,0.184685,-0.167404,0.0559878,0.131319,-0.169774
-0.0798425,0.180005,-0.0931914,0.0702499,0.104708,-0.145095
-0.126869,0.164724,-0.0657462,0.0891913,0.109171,-0.0998515
-0.150647,0.163319,-0.0585573,0.0743381,0.138134,-0.0654497
-0.165932,0.162351,-0.048828,0.0427971,0.157177,-0.0498518
-0.16512,0.135991,-0.0396318,0.027758,0.15251,-0.0383257
-0.118759,0.0777318,-0.0236028,0.034251,0.139275,-0.0328944
-0.0303291,0.0371993,0.00481076,0.0503058,0.127706,-0.0161122
0.121315,-0.0118077,0.0472107,0.0638331,0.128968,-0.0223141
0.251059,-0.0475497,0.0836225,0.0757473,0.11636,-0.0412231
0.314488,-0.0830114,0.110602,0.0805925,0.0916723,-0.0493508
0.345194,-0.120593,0.123141,0.0736899,0.0506892,-0.05244
0.343141,-0.145155,0.116418,0.0626859,0.00926584,-0.0454107
0.325472,-0.129289,0.103362,0.047983,-0.010642,-0.0270707
0.286547,-0.112612,0.0985937,0.0415597,-0.015321,-0.0215442
0.214188,-0.106653,0.122276,0.043143,-0.0231194,-0.0188839
0.138607,-0.123553,0.127828,0.0407445,-0.039122,-0.0190896
0.109979,-0.131501,0.107887,0.0210222,-0.0490379,-0.024359
0.137748,-0.107862,0.0691493,-0.0136444,-0.025808,-0.0291821
0.195334,-0.0363033,0.0402944,-0.0413294,0.0210938,-0.0267097
0.255752,0.0381378,0.0220593,-0.0523659,0.0417421,-0.0303113
0.260854,0.0808725,0.0285078,-0.0420628,-0.00903726,-0.014771
0.208615,0.0952622,0.0704308,-0.0217848,-0.0667261,0.0171228
0.0977464,0.0713052,0.0944107,-0.00935328,-0.0817199,0.0332349
0.00492209,0.0574215,0.0746407,-0.0224486,-0.061196,0.0353047
-0.0255296,0.0605523,0.0445819,-0.0540898,-0.04387,0.0285859
-0.0441751,0.0442047,0.00653169,-0.0718489,-0.0380868,0.0255056
-0.0440276,0.0255978,-0.0261916,-0.0617599,-0.014864,0.0333292
-0.00265866,0.00928305,-0.0371159,-0.04747,0.00183564,0.0469966
0.0552536,-0.0234813,-0.0440774,-0.0346168,-0.010047,0.0519716
0.102631,-0.0670666,-0.0548174,-0.0254592,-0.0367316,0.0490058
0.142341,-0.0914148,-0.0772157,-0.0292687,-0.048408,0.0386371
0.14247,-0.092444,-0.111656,-0.0401376,-0.0596731,0.0258766
0.072315,-0.105114,-0.168296,-0.0488995,-0.0728804,0.0338667
0.0334345,-0.110318,-0.210124,-0.0427412,-0.0714048,0.0396324
-0.00243991,-0.119216,-0.225362,-0.0295455,-0.075172,0.0324049
-0.00166687,-0.131734,-0.241933,-0.0128268,-0.0703244,0.0230989
0.853986,-0.140985,0.147603,0.0197701,-0.0112717,0.0734708
0.972938,-0.108995,0.18038,0.0172104,0.0100522,0.0626558
1.01144,0.0366647,0.285205,-0.0083952,0.135517,0.0437915
