loggingTime(txt),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G)
2022-11-11T14:53:33.685-07:00,-0.0700259655714035,-0.2993151545524600,-0.1054406389594080,0.1164296641945840,0.1108285337686540,0.01562875509262090
2022-11-11T14:53:33.687-07:00,-0.1009367555379870,-0.2163915187120440,-0.06100286543369290,0.05950081348419190,-0.006849095225334170,-0.005968987941741940
2022-11-11T14:53:33.688-07:00,-0.1799432188272480,-0.09912501275539400,-0.01521460525691510,-0.02911798655986790,-0.09061439335346220,-0.02194088697433470
2022-11-11T14:53:33.689-07:00,-0.2608093023300170,0.02356735430657860,0.0777912363409996,-0.05288154631853100,-0.09120504558086400,-0.02436399459838870
2022-11-11T14:53:33.690-07:00,-0.4208325743675230,-0.01112907379865650,0.1477700620889660,-0.02803303301334380,-0.07238733768463140,-0.008293032646179200
2022-11-11T14:53:33.691-07:00,-0.2620786130428310,-0.04750758782029150,-0.00424930639564991,-0.04053664952516560,0.1613366603851320,-0.01264452934265140
2022-11-11T14:53:33.695-07:00,-0.2400442063808440,-0.07708538323640820,0.03713994473218920,0.04014845192432400,-0.04233551025390630,-0.006284594535827640
2022-11-11T14:53:33.696-07:00,-0.1708789765834810,0.01491191424429420,0.06446211785078050,-0.02152920514345170,0.01153780519962310,0.02638888359069820
2022-11-11T14:53:33.697-07:00,-0.1119877025485040,0.04397791996598240,0.0411117821931839,-0.04919557273387910,0.01200661063194280,0.003640353679656980
2022-11-11T14:53:33.703-07:00,-0.05669515579938890,0.06612370163202290,0.03008203767240050,-0.03284242004156110,0.03986068069934850,0.01424133777618410
2022-11-11T14:53:33.713-07:00,0.006147859618067740,0.0455666296184063,0.02742713131010530,-0.005983747541904450,0.01964622735977170,0.02941447496414190
2022-11-11T14:53:33.723-07:00,0.03974976018071180,0.01655175536870960,0.02519273944199090,0.00746125727891922,0.01242215931415560,0.03099274635314940
2022-11-11T14:53:33.733-07:00,0.05668230354785920,-0.01609743386507030,0.015760887414217,0.01685988157987600,0.009271249175071720,0.02318853139877320
2022-11-11T14:53:33.743-07:00,0.06660337746143340,-0.02021601237356660,-0.006516721099615100,0.01819957047700880,0.005523905158042910,0.01244658231735230
2022-11-11T14:53:33.753-07:00,0.06838686764240270,-0.01460523158311840,-0.00532815232872963,0.0116545632481575,0.003316134214401250,0.005284011363983150
2022-11-11T14:53:33.763-07:00,0.08716268837451940,0.002747393678873780,0.004466953687369820,-0.001586630940437320,0.002952173352241520,0.003626167774200440
2022-11-11T14:53:33.773-07:00,0.09985771030187610,-0.002548302290961150,-0.002204530872404580,-0.0059962198138237,0.004068449139595030,0.009732067584991460
2022-11-11T14:53:33.783-07:00,0.0878782793879509,-0.01139638852328060,-0.009528489783406260,0.006297171115875240,0.004232451319694520,0.01180970668792730
